rank,Protein,Bait,rep1,rep2,pi1,pi2,pi3,gamma3,gamma3_avg,FDR
1654,DHTKD1,TMEMmyc,3.0,0.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9056198086966109
1654,DIPK1B,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9059802556583726
1654,DIPK1B,TMEMmyc,1.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9059802556583726
1654,DOHH,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9051797632070553
1654,DOHH,TMEMmyc,2.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9051797632070553
1654,FADD,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.905904601066265
1654,FADD,TMEMmyc,3.0,0.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.905904601066265
1654,FBXL3,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.905562643226409
1654,FBXL3,TMEMmyc,2.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.905562643226409
1654,GOLPH3L,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9050257404873916
1654,GOLPH3L,TMEMmyc,2.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9050257404873916
1654,GTF2H2,TMEMV5,1.0,3.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9054863147909484
1654,GTF2H2,TMEMmyc,2.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9054863147909484
